upper_biosample,upper_assembly_accession,upper_log2_mic,upper_mic_mg_L,match_rank,comparison_biosample,comparison_assembly_accession,comparison_log2_mic,comparison_mic_mg_L,delta_log2_mic_upper_minus_comparison,K_relatedness,K_derived_distance,eligible_distance_rank
SAMN06311518,GCA_012499725.1,3.0,8.0,1,SAMN50215179,GCA_052608325.1,-2.0,0.25,5.0,0.8612370801292677,0.1638203782149012,1
SAMN06311518,GCA_012499725.1,3.0,8.0,2,SAMN50215269,GCA_052603455.1,-2.0,0.25,5.0,0.8314305460363223,0.2640112779460407,2
SAMN06311518,GCA_012499725.1,3.0,8.0,3,SAMN50215799,GCA_052602855.1,-2.0,0.25,5.0,0.8314305460363223,0.2640112779460407,3
SAMN15052536,GCA_017001935.1,3.0,8.0,1,SAMN15052508,GCA_017001295.1,-2.0,0.25,5.0,0.9812376727584456,0.2106081419860352,1
SAMN15052536,GCA_017001935.1,3.0,8.0,2,SAMN50215259,GCA_052603255.1,-3.0,0.125,6.0,0.6305164400624494,0.8824109648924181,2
SAMN15052536,GCA_017001935.1,3.0,8.0,3,SAMN50215839,GCA_052606015.1,-2.0,0.25,5.0,0.6248185910461029,0.8845204849119228,3
SAMN15052628,GCA_017003335.1,3.584962500721156,12.0,1,SAMN15052508,GCA_017001295.1,-2.0,0.25,5.584962500721156,0.9534983617152508,0.321322813196937,1
SAMN15052628,GCA_017003335.1,3.584962500721156,12.0,2,SAMN50215259,GCA_052603255.1,-3.0,0.125,6.584962500721156,0.6284960321577916,0.8866249858284381,2
SAMN15052628,GCA_017003335.1,3.584962500721156,12.0,3,SAMN50215177,GCA_052608265.1,-1.0,0.5,4.584962500721156,0.6238334666357882,0.8904005528833057,3
SAMN15776734,GCA_017835455.1,3.0,8.0,1,SAMN50215317,GCA_052608845.1,-2.0,0.25,5.0,0.9176812088508852,0.462145775018932,1
SAMN15776734,GCA_017835455.1,3.0,8.0,2,SAMN50215177,GCA_052608265.1,-1.0,0.5,4.0,0.7698811142776787,0.7192773905691049,2
SAMN15776734,GCA_017835455.1,3.0,8.0,3,SAMN50215259,GCA_052603255.1,-3.0,0.125,6.0,0.7655979743601912,0.7270090070853759,3
SAMN16551975,GCA_014975045.1,3.0,8.0,1,SAMN50215317,GCA_052608845.1,-2.0,0.25,5.0,0.9176812088508852,0.462145775018932,1
SAMN16551975,GCA_014975045.1,3.0,8.0,2,SAMN50215177,GCA_052608265.1,-1.0,0.5,4.0,0.7698811142776787,0.7192773905691049,2
