Subwindow,MG1655_start_1_based_bp,MG1655_end_1_based_inclusive_bp,n_unitigs,delta_variance_fraction,empirical_p_value,BH_q_value,median_Jaccard_dissimilarity,Q1_Jaccard_dissimilarity,Q3_Jaccard_dissimilarity
W01_S03,92834,139249,8001,0.000275,0.003984,0.009960,0.196471,0.005543,0.208443
W01_S08,324916,371332,10396,0.000325,0.003984,0.009960,0.210800,0.122125,0.293388
W01_S09,371333,417748,8467,0.000488,0.003984,0.009960,0.129446,0.020312,0.229919
W01_S10,417749,464165,7227,0.000182,0.003984,0.009960,0.189253,0.004796,0.197075
W04_S01,1392496,1438911,6542,0.000165,0.003984,0.019920,0.268798,0.160113,0.317042
W04_S04,1531745,1578161,8823,0.000284,0.011952,0.039841,0.155008,0.007523,0.218783
W04_S08,1717411,1763827,8344,0.000648,0.003984,0.019920,0.118240,0.005068,0.158113
W07_S04,2924241,2970657,7745,0.000363,0.003984,0.009960,0.091213,0.005878,0.193309
W07_S05,2970658,3017073,7859,0.001481,0.003984,0.009960,0.159338,0.006701,0.197542
W07_S06,3017074,3063490,9504,0.002342,0.003984,0.009960,0.233327,0.005868,0.251140
W07_S07,3063491,3109906,8999,0.002107,0.003984,0.009960,0.204727,0.151556,0.234481
W10_S08,4502403,4548818,4776,0.004413,0.003984,0.013280,0.404886,0.250355,0.442276
W10_S09,4548819,4595235,7756,0.000786,0.003984,0.013280,0.339445,0.213616,0.446702
W10_S10,4595236,4641652,9700,0.001214,0.003984,0.013280,0.193963,0.144325,0.354037
